Country,Employment (thousand persons),Exports to non-member countries (million EUR)
Austria,4098.26,42210.27899999998
Belgium,4497.0,76051.11399999999
Bulgaria,3603.93,7593.006999999991
Croatia,1670.33,3856.6080000000047
Cyprus,406.15,4212.371999999996
Czechia,5057.27,21281.476999999966
Denmark,2789.9,52762.408999999985
Estonia,569.67,3865.6129999999994
Finland,2491.0,36289.25599999999
France,26948.6,240824.25200000015
Germany,41099.0,408748.04100000014
Greece,4706.3,23648.564999999995
Hungary,3925.63,21954.85699999998
Ireland,1923.01,86143.07900000006
Italy,24594.3,186940.54400000014
Latvia,843.52,3342.9750000000017
Lithuania,1247.12,6569.114999999991
Luxembourg,258.82,20553.863000000012
Malta,136.64,2340.2139999999977
Netherlands,8781.0,101904.90900000003
Poland,15370.3,41780.79599999997
Portugal,4871.360000000001,15909.545999999964
Romania,8725.1,13594.146999999975
Slovakia,2169.8500000000004,9539.875999999991
Slovenia,963.42,6165.884999999996
Spain,19605.8,104683.894
Sweden,4296.0,74450.831
United Kingdom,24562.93,253465.33500000017
EU-28,220212.21,1870682.8590000006
