Country,Total (thousand),Domestic (thousand),Spillover (thousand),Domestic (%),Spillover (%)
Bulgaria,519.3615500628531,497.0244295764813,22.337120486371816,95.69911933533228,4.300880664667721
Romania,736.3440636803406,701.8538365116708,34.490227168669776,95.31601748830796,4.683982511692057
Croatia,144.2558360316762,136.6368978771751,7.618938154501109,94.71845412699412,5.28154587300587
Latvia,116.69011842514088,108.89381524024292,7.796303184897965,93.31879743536344,6.681202564636572
Lithuania,191.00598769285153,176.8685911966931,14.13739649615843,92.5984537621448,7.401546237855205
Poland,1382.8654470714887,1275.9277128738931,106.93773419759556,92.26694582440692,7.733054175593071
United Kingdom,3243.5717718396204,2985.6155388811617,257.9562329584587,92.04715507768287,7.95284492231712
Greece,336.4589752117898,303.59307125604005,32.86590395574973,90.23182427068213,9.768175729317884
Cyprus,54.96741804459515,49.56175910235862,5.405658942236535,90.1657033665818,9.834296633418209
Spain,1634.5439919666528,1472.425609049509,162.1183829171439,90.08173633050488,9.918263669495127
Portugal,336.1022474357605,288.9326413329916,47.16960610276891,85.96569750347044,14.034302496529566
Germany,5190.303492062362,4390.061512143555,800.2419799188074,84.58198097389422,15.418019026105773
Estonia,96.3631807980941,81.1283316638434,15.234849134250709,84.19017615641842,15.80982384358158
Netherlands,1006.1202958614458,840.638673184168,165.48162267727776,83.55250129055479,16.44749870944522
Italy,2464.2119522551666,2027.0956058815611,437.11634637360544,82.26141440578718,17.738585594212818
Slovenia,137.54808483144794,113.1476023927524,24.400482438695533,82.2603982682885,17.739601731711492
France,2666.7751697047283,2188.8006957156176,477.9744739891107,82.0766865006459,17.923313499354098
Czechia,512.6999784155465,420.7857270912785,91.91425132426804,82.07250727641518,17.927492723584816
Finland,399.4987412022739,313.4134081323578,86.08533306991609,78.45166349940276,21.54833650059724
Hungary,485.9710627976166,375.4149506556595,110.5561121419571,77.25047423492407,22.74952576507593
Slovakia,217.8606507207976,164.08160343624655,53.77904728455104,75.31493314344667,24.68506685655334
Sweden,613.4614431145377,440.2552344779234,173.2062086366143,71.76575470542238,28.234245294577615
Denmark,462.0177976841031,328.5222733423986,133.49552434170448,71.10597794914823,28.894022050851778
Belgium,756.6081424004022,531.5804181407341,225.02772425966816,70.25835281844192,29.74164718155808
Austria,533.0076991460443,372.86621674680015,160.14148239924413,69.95512772970935,30.04487227029066
Malta,18.930246939658055,13.078958008960727,5.8512889306973275,69.09026623187293,30.909733768127072
Ireland,585.8616406838246,354.9261049502734,230.9355357335512,60.581898575233474,39.418101424766526
Luxembourg,102.72461210678584,40.43326983373255,62.29134227305329,39.36083963179218,60.63916036820781
