Employment in sector \ Exports from sector,A,B-E,F,G-I,J,K,L,M-N,O-Q,R-U
A,730.0060902393107,604.6030531172802,1.624811914212044,78.33468624826338,5.35558491656387,2.2763741768039174,0.2344316216422615,15.768644253862144,0.6914939862058052,0.9708447145784368
B-E,39.14257021833337,8303.484348987147,23.385543520167168,337.63917103678074,61.82821541753432,27.912288976434787,2.506149345868102,120.13783583287469,7.062532339321568,6.350500948542935
F,4.07776066650371,207.53145652865445,95.1117852177677,79.14942330253047,11.054093845518173,13.56780697848523,3.299870086181228,32.278604267937425,2.664025318928793,1.543057902700748
G-I,42.08541967092132,2311.7811883212676,16.85699726523181,3842.108541200452,97.07684685163004,78.08720247609719,1.98422350436006,189.13711821778008,10.374636436773574,9.161692809874436
J,2.7415568149906315,222.7341260758668,1.3811694955563043,88.20321990496517,483.1387105551888,43.933989163760536,0.5267536386214171,63.380048180456896,2.2920113710944885,2.7639720453096315
K,5.990390608944437,246.00264466155215,2.052026550814194,102.71479505025238,16.536004718919564,537.1434542986764,1.858754586443594,40.58373286062855,1.585376771839284,1.778146036708701
L,0.5971857600475483,40.01751436670844,0.305740434080964,20.24037479145209,3.396788705878113,2.822343859869984,3.74109686662272,7.939737018070187,0.2197749593270768,0.2329896692947187
M-N,28.74132456557356,1854.3210274688092,13.063709573335544,684.9607045566784,143.8384628532761,187.60569931535863,4.0482644846528775,1897.736144601055,17.389493335871542,16.16150114733697
O-Q,2.71232782624005,162.27635233686357,1.0875995380735546,52.660025815129394,12.819955212930957,8.435702942657489,0.275908598373427,30.308941028683055,71.88356609682943,1.021154773672703
R-U,2.129315217751722,136.4239096360734,0.7284969415111192,47.76206085413435,19.150720650094517,9.88237559869909,0.1883676553473603,30.751420137253316,1.7603753343683093,140.90533758720093
